tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy,pg_vacancy,n1_vacancy,n2_vacancy,k1_vacancy,k2_vacancy,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
"na","PT1450","BLOSSOM CREATIVE CENTRE LLP","PT","Private Operators","CC","62418829","bcc@blossomedugroup.com.sg","8,JALAN LIMAU PURUT,468182","468182","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","Yes","Yes","No","2021-01-04","na"
"na","PT9459","ELFA Chinese Preschool","PT","Private Operators","CC","68176460","ELFAPV@ELFA.EDU.SG","3,PANDAN VALLEY,#01-316,CHEMPAKA COURT,597627","597627","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","na","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-04","na"
"na","PT8458","MODERN MONTESSORI PRESCHOOL CENTRE","PT","Private Operators","CC","64511797","thomson@modern-montessori.com","6,BRIGHT HILL DRIVE,579598","579598","http://www.modern-montessori.com","More than 1 Year","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","Yes","Yes","Yes","2021-01-04","na"
"na","PT9147","STAR LEARNERS RESPECT PTE. LTD.","PT","Private Operators","CC","62500173","MENGWEI.TAN@STARLEARNERS.COM.SG","51,LORONG PUNTONG,INGLEWOOD, THE,576441","576441","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0210","PCF Sparkletots Preschool @ Tanjong Pagar - Tiong Bahru Blk 1E (KN)","ST","PAP Community Foundation","KN","66348341","TG.KN.1E@pcf.org.sg","1E,Cantoment Road,#03-49,085501","085501","na","na","na","na","na","na","na","na","Chinese","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT2850","KANOOKA SCHOOL HOUSE PTE LTD","PT","Private Operators","CC","67919122","kanooka@newera-educare.com.sg","852,JURONG WEST STREET 81,#01-317,640852","640852","http://kanooka-neweraeducare.com.sg","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2021-01-04","na"
"na","ST0160","PCF Sparkletots Preschool @ Sembawang West Blk 755 (CC)","ST","PAP Community Foundation","CC","63687021","SB.CC.755@pcf.org.sg","755,WOODLANDS AVENUE 4,#01-299,730755","730755","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0383","PCF Sparkletots Preschool @ Clementi Blk 445 (EY)","ST","PAP Community Foundation","EYC-DS","69723847","CL.EY.445@pcf.org.sg","445,CLEMENTI AVENUE 3,#01-181,120445","120445","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-04","na"
"na","ST0023","PCF SPARKLETOTS PRESCHOOL @ QUEENSTOWN BLK 78B (CC)","ST","PAP Community Foundation","CC","64740931","QT.CC.78B@pcf.org.sg","78B,STRATHMORE AVENUE,#02-01,143078","143078","na","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0267","PCF Sparkletots Preschool @ Tampines - Changkat Blk 106 (EY)","ST","PAP Community Foundation","DS","67885334","CT.EY.106@pcf.org.sg","106,Tampines Street 11,#01-333,521106","521106","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","na","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
