name,address,postal
1 BISHAN MEDICAL,"283 BISHAN STREET 22, #01-191, Singapore 570283",570283
1 MEDICAL TECK GHEE,"TECK GHEE SQUARE 410 ANG MO KIO AVENUE 10, #01-837, TECK GHEE SQUARE Singapore 560410",560410
115 EASTPOINT CLINIC & SURGERY,"115 BEDOK NORTH RD, #01-301, Singapore 460115",460115
1728 DENTAL PRACTICE (ANG MO KIO),"704 ANG MO KIO AVENUE 8, #01-2559, Singapore 560704",560704
1728 DENTAL PRACTICE (JURONG),"135 JURONG GATEWAY ROAD, #01-319, Singapore 600135",600135
1728 DENTAL PRACTICE (TAMPINES) PTE LTD,"201E TAMPINES STREET 23, #01-60, Singapore 527201",527201
18 CLINIC,"101 TOWNER ROAD, #01-228, Singapore 322101",322101
"1AESTHETICS, MEDICAL & SURGERY","THE CENTRAL 8 EU TONG SEN STREET, #14-90, THE CENTRAL Singapore 059818",059818
216 PROCROSS MEDICAL CLINIC,"MULTI STOREY CAR PARK 216 BOON LAY AVENUE, #01-03, MULTI STOREY CAR PARK Singapore 640216",640216
326 AVENUE 3 CLINIC,"326 SERANGOON AVE 3, #01-382, Singapore 550326",550326
338 FAMILY CLINIC,"338 ANG MO KIO AVE 1, #01-1615, Singapore 560338",560338
57 MEDICAL CLINIC (GEYLANG BAHRU),"57 GEYLANG BAHRU, #01-3505, Singapore 330057",330057
57 MEDICAL CLINIC (YISHUN),"618 YISHUN RING ROAD, #01-3238, Singapore 760618",760618
8 MEDICAL AESTHETIC CLINIC,"THE CATHAY 2 HANDY ROAD, #04-18, THE CATHAY Singapore 229233",229233
8 MEDICAL AESTHETIC CLINIC,"51 CUPPAGE ROAD, #01-03, Singapore 229469",229469
81 FAMILY CLINIC,"86 MARINE PARADE CENTRAL, #01-670, Singapore 440086",440086
818 FAMILY CLINIC AND SURGERY,"818 WOODLANDS ST 82, #01-421, Singapore 730818",730818
888 PLAZA FAMILY CLINIC,"888 PLAZA 888 WOODLANDS DRIVE 50, #01-739, 888 PLAZA Singapore 730888",730888
@JUST BRACES.DENTAL CENTRE,"WINSLAND HOUSE I 3 KILLINEY ROAD, #09-02, WINSLAND HOUSE I Singapore 239519",239519
A & A CLINIC,"570B WOODLANDS AVENUE 1, #01-07, Singapore 732570",732570
A CLINIC FOR WOMEN,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #08-58, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623
"A COMPANY FOR WOMEN, OBSTETRICS & GYNAECOLOGY","Camden Medical Centre 1 Orchard Boulevard, #03-05/06, Camden Medical Centre Singapore 248649",248649
A DENTAL CLINIC @ CLEMENTI CENTRAL PTE LTD,"450 CLEMENTI AVENUE 3, #01-285, Singapore 120450",120450
A DENTAL CLINIC @ JURONG EAST CENTRAL,"133 JURONG GATEWAY ROAD, #01-291, Singapore 600133",600133
A L LIM CLINIC FOR WOMEN PTE LTD,"THOMSON MEDICAL CENTRE 339 THOMSON ROAD, #05-04, THOMSON MEDICAL CENTRE Singapore 307677",307677
A LIFE CLINIC PTE LTD,"NOVENA MEDICAL CENTER 10 SINARAN DRIVE, #09-21, NOVENA MEDICAL CENTER Singapore 307506",307506
