in_op,future_op,mrt_loc,mrt_name,date_opened,other_connections
1,1,Jurong East,Jurong East MRT,10-Mar-90,1
1,0,Bukit Batok,Bukit Batok MRT,10-Mar-90,0
1,0,Bukit Gombak,Bukit Gombak MRT,10-Mar-90,0
0,1,Brickland,Brickland MRT,Mid-2030s,0
1,1,Choa Chu Kang,Choa Chu Kang MRT,10-Mar-90,1
1,0,Yew Tee,Yew Tee MRT,10-Feb-96,0
0,1,Sungei Kadut,Sungei Kadut MRT,Mid-2030s,0
1,0,Kranji,Kranji MRT,10-Feb-96,0
1,0,Marsiling,Marsiling MRT,10-Feb-96,0
1,0,Woodlands,Woodlands MRT,10-Feb-96,0
1,0,Admiralty,Admiralty MRT,10-Feb-96,0
1,0,Sembawang,Sembawang MRT,10-Feb-96,0
1,0,Canberra,Canberra MRT,2-Nov-19,0
1,0,Yishun,Yishun MRT,20-Dec-88,1
1,0,Khatib,Khatib MRT,20-Dec-88,0
1,0,Yio Chu Kang,Yio Chu Kang MRT,7-Nov-87,1
1,1,Ang Mo Kio,Ang Mo Kio MRT,7-Nov-87,0
1,0,Bishan,Bishan MRT,7-Nov-87,0
1,0,Braddell,Braddell MRT,7-Nov-87,0
1,0,Toa Payoh,Toa Payoh MRT,7-Nov-87,0
1,0,Novena,Novena MRT,12-Dec-87,0
1,0,Newton,Newton MRT,12-Dec-87,0
1,1,Orchard,Orchard MRT,12-Dec-87,0
1,0,Somerset,Somerset MRT,12-Dec-87,0
1,0,Dhoby Ghaut,Dhoby Ghaut MRT,12-Dec-87,0
1,0,City Hall,City Hall MRT,12-Dec-87,0
1,0,Raffles Place,Raffles Place MRT,12-Dec-87,0
1,1,Marina Bay,Marina Bay MRT,4-Nov-89,0
1,0,Marina South Pier,Marina South Pier MRT,23-Nov-14,1
1,1,Pasir Ris,Pasir Ris MRT,16-Dec-89,1
1,0,Tampines,Tampines MRT,16-Dec-89,0
1,0,Simei,Simei MRT,16-Dec-89,0
1,1,Tanah Merah,Tanah Merah MRT,4-Nov-89,0
1,0,Bedok,Bedok MRT,4-Nov-89,0
1,0,Kembangan,Kembangan MRT,4-Nov-89,0
1,0,Eunos,Eunos MRT,4-Nov-89,0
1,0,Paya Lebar,Paya Lebar MRT,4-Nov-89,0
1,0,Aljunied,Aljunied MRT,4-Nov-89,0
1,0,Kallang,Kallang MRT,4-Nov-89,0
1,0,Lavender,Lavender MRT,4-Nov-89,0
1,0,Bugis,Bugis MRT,4-Nov-89,0
1,0,City Hall,City Hall MRT,12-Dec-87,0
1,0,Raffles Place,Raffles Place MRT,12-Dec-87,0
1,0,Tanjong Pagar,Tanjong Pagar MRT,12-Dec-87,0
1,1,Outram Park,Outram Park MRT,12-Dec-87,0
1,0,Tiong Bahru,Tiong Bahru MRT,12-Mar-88,0
1,0,Redhill,Redhill MRT,12-Mar-88,0
1,0,Queenstown,Queenstown MRT,12-Mar-88,0
1,0,Commonwealth,Commonwealth MRT,12-Mar-88,0
1,0,Buona Vista,Buona Vista MRT,12-Mar-88,0
1,0,Dover,Dover MRT,18-Oct-01,0
1,0,Clementi,Clementi MRT,12-Mar-88,1
1,1,Jurong East,Jurong East MRT,5-Nov-88,1
1,0,Chinese Garden,Chinese Garden MRT,5-Nov-88,0
1,0,Lakeside,Lakeside MRT,5-Nov-88,0
1,1,Boon Lay,Boon Lay MRT,6-Jul-90,1
1,0,Pioneer,Pioneer MRT,28-Feb-09,0
1,0,Joo Koon,Joo Koon MRT,28-Feb-09,0
1,0,Gul Circle,Gul Circle MRT,18-Jun-17,0
1,0,Tuas Crescent,Tuas Crescent MRT,18-Jun-17,0
1,0,Tuas West Road,Tuas West Road MRT,18-Jun-17,0
1,0,Tuas Link,Tuas Link MRT,18-Jun-17,0
1,1,Expo,Expo MRT,10-Jan-01,0
1,1,Changi Airport,Changi Airport MRT,8-Feb-02,1
1,0,HarbourFront,HarbourFront MRT,20-Jun-03,1
1,1,Outram Park,Outram Park MRT,20-Jun-03,1
1,0,Chinatown,Chinatown MRT,20-Jun-03,0
1,0,Clarke Quay,Clarke Quay MRT,20-Jun-03,0
1,0,Dhoby Ghaut,Dhoby Ghaut MRT,20-Jun-03,0
1,0,Little India,Little India MRT,20-Jun-03,0
1,0,Farrer Park,Farrer Park MRT,20-Jun-03,0
1,0,Boon Keng,Boon Keng MRT,20-Jun-03,0
1,0,Potong Pasir,Potong Pasir MRT,20-Jun-03,0
1,0,Woodleigh,Woodleigh MRT,20-Jun-11,1
1,0,Serangoon,Serangoon MRT,20-Jun-03,1
1,0,Kovan,Kovan MRT,20-Jun-03,0
1,1,Hougang,Hougang MRT,20-Jun-03,0
1,0,Buangkok,Buangkok MRT,15-Jan-06,1
1,0,Sengkang,Sengkang MRT,20-Jun-03,1
1,1,Punggol,Punggol MRT,20-Jun-03,0
0,1,Punggol Coast,Punggol Coast MRT,2024,1
