name,address,postal
ALL SAINTS HOME (HOUGANG),5 Poh Huat Road Singapore 546703,546703
ALL SAINTS HOME (JURONG EAST),20 JURONG EAST AVENUE 1 Singapore 609792,609792
ALL SAINTS HOME (TAMPINES),11 TAMPINES STREET 44 Singapore 529123,529123
ALL SAINTS HOME (YISHUN),551 YISHUN RING ROAD Singapore 768681,768681
ALLIUM CARE SUITES,71 VENUS DRIVE Singapore 573859,573859
APEX HARMONY LODGE,10 PASIR RIS WALK Singapore 518240,518240
ASSISI HOSPICE,832 Thomson Road Singapore 574627,574627
BRIGHT HILL EVERGREEN HOME,100 PUNGGOL FIELD Singapore 828811,828811
BUKIT BATOK CARE HOME,Bukit Batok Care Home 11 BUKIT BATOK WEST AVENUE 9 Bukit Batok Care Home Singapore 657995,657995
CHARIS MANOR NURSING HOME,Charis Manor Nursing Home 39 SIMS AVENUE Charis Manor Nursing Home Singapore 387412,387412
DOVER PARK HOSPICE,10 JALAN TAN TOCK SENG Singapore 308436,308436
ECON MEDICARE CENTRE,351 CHAI CHEE STREET #03-01 & #04-01 Singapore 468982,468982
ECON MEDICARE CENTRE & NURSING HOME,"Level 1 & 2, Block 9, Level 2 10 Buangkok View, Block 5, Level 1 & 2, Block 9, Level 2 Singapore 539747",539747
ECON MEDICARE CENTRE - YIO CHU KANG,451 YIO CHU KANG ROAD Singapore 805947,805947
GOOD SHEPHERD LOFT,255 & 255A BUKIT TIMAH ROAD S(259691) & Singapore 259692,259692
GRACE LODGE,19 COMPASSVALE WALK Singapore 544644,544644
GREEN AVENUE HOME FOR THE ELDERLY,Building 4: 08-13 and Building 5: 01-06 No. 1 Lorong 23 Geylang Building 4: 08-13 and Building 5: 01-06 Singapore 388352,388352
IRENE NURSING HOME PTE LTD,11 JALAN AMPAS Singapore 329514,329514
JAMIYAH NURSING HOME (DARUL SYIFAA),130 WEST COAST DRIVE Singapore 127444,127444
JU ENG HOME FOR SENIOR CITIZENS,205 JALAN KAYU Singapore 799436,799436
KWONG WAI SHIU HOSPITAL,705 SERANGOON ROAD Singapore 328127,328127
LC NURSING HOME,2 JALAN ULU SIGLAP Singapore 457121,457121
LEE AH MOOI OLD AGE HOME,1 THOMSON LANE Singapore 297728,297728
LEE AH MOOI OLD AGE HOME (SILAT),148A SILAT AVENUE Singapore 168871,168871
LING KWANG HOME FOR SENIOR CITIZENS,156 SERANGOON GARDEN WAY Singapore 556055,556055
LIONS HOME FOR THE ELDERS,487 BEDOK SOUTH AVE 2 Singapore 469316,469316
MAN FUT TONG NURSING HOME,"Man Fut Tong Nursing Home 20 WOODLANDS ST 82, #0-0, Man Fut Tong Nursing Home Singapore 738507",738507
MOONLIGHT HOME FOR THE AGED AND HANDICAPPED LLP,156 YIO CHU KANG ROAD Singapore 545610,545610
MORAL HOME FOR THE AGED SICK LIMITED,"1 JALAN BILAL, OFF BEDOK ROAD Singapore 468854",468854
MWS BETHANY NURSING HOME - CHOA CHU KANG,9 Choa Chu Kang Ave 4 Singapore 689815,689815
MWS NURSING HOME (YEW TEE),51 CHOA CHU KANG NORTH 6 Singapore 689581,689581
NTUC HEALTH (CHAI CHEE),35 Chai Chee Street Singapore 468984,468984
NTUC HEALTH NURSING HOME (JURONG WEST),50 JURONG WEST STREET 93 Singapore 648967,648967
