name,address,postal
A.M. PHARMACY PTE LTD,"150 ORCHARD ROAD, #4-6, Singapore 238841",238841
ADMIRALTY MEDICAL CENTRE PHARMACY,"676 WOODLANDS DRIVE 71, #1-1, Singapore 730676",730676
AIRPORT PHARMACY,"10 AIRPORT BOULEVARD, #2-55/56, Singapore 819665",819665
ALCHEMY PHARMACY,"258 PASIR RIS STREET 21, #1-14, Singapore 510258",510258
ALPS PHARMACY,"91 ALPS AVENUE, #3-1-Feb, Singapore 498787",498787
AMBER COMPOUNDING PHARMACY PTE LTD,"221 SOUTH BRIDGE ROAD, #1-0, Singapore 058770",058770
CGH PHARMACY B,2 SIMEI STREET 3 CHANGI GENERAL HOSPITAL Singapore 529889,529889
CHILD GUIDANCE CLINIC HEALTH PROMOTION BOARD,"3 SECOND HOSPITAL AVENUE, #3-1, Singapore 168937",168937
CLINIC B PHARMACY,"10 BUANGKOK VIEW, #1-blk 1, Singapore 539747",539747
CONCORD HEALTHCARE RETAIL PHARMACY,"19 ADAM ROAD, #1-1, Singapore 289891",289891
E+MED PTE LTD,"505B BISHAN STREET 11, #1-422, Singapore 572505",572505
ESSENTIALS PHARMACY,"101 UPPER CROSS STREET, #1-23, Singapore 058357",058357
FARRER PARK PHARMACY,"1 FARRER PARK STATION ROAD, #1-3, Singapore 217562",217562
GLENEAGLES HOSPITAL,6A NAPIER ROAD GLENEAGLES HOSPITAL Singapore 258500,258500
GRACE HEALTHCARE,"634 BUKIT BATOK CENTRAL, #1-110, Singapore 650634",650634
GUARDIAN PHARMACY ( WATERWAY POINT),"83 PUNGGOL CENTRAL, #B1-4, Singapore 828761",828761
GUARDIAN PHARMACY (313 @ SOMERSET),"313 ORCHARD ROAD, #B3-13/14, Singapore 238895",238895
GUARDIAN PHARMACY (ADMIRALTY),"678A WOODLANDS AVENUE 6, #1-39, Singapore 731678",731678
GUARDIAN PHARMACY (AMARA HOTEL),"100 TRAS STREET, #2-9, Singapore 079027",079027
GUARDIAN PHARMACY (ANG MO KIO 3),"704 ANG MO KIO AVENUE 8, #1-2559, Singapore 560704",560704
GUARDIAN PHARMACY (BEDOK CENTRAL),"210 NEW UPPER CHANGI ROAD, #1-715, Singapore 460210",460210
GUARDIAN PHARMACY (BEDOK MALL),"311 NEW UPPER CHANGI ROAD, #B2-45/47, Singapore 467360",467360
GUARDIAN PHARMACY (BISHAN PLACE),"9 BISHAN PLACE, #B1-8, Singapore 579837",579837
GUARDIAN PHARMACY (BUGIS JUNCTION 3),"200 VICTORIA STREET, #B1-20/21, Singapore 188021",188021
GUARDIAN PHARMACY (BUGIS MRT),"220 VICTORIA STREET, #B1-1, Singapore 188022",188022
GUARDIAN PHARMACY (BUKIT PANJANG PLAZA),"1 JELEBU ROAD, #1-1/2/2003, Singapore 677743",677743
GUARDIAN PHARMACY (CAUSEWAY POINT),"1 WOODLANDS SQUARE, #B1-28/30, Singapore 738099",738099
GUARDIAN PHARMACY (CHANGI T3 BASEMENT 2 NORTH),"65 AIRPORT BOULEVARD, #B2-24, Singapore 819663",819663
GUARDIAN PHARMACY (CHINATOWN POINT 4),"133 NEW BRIDGE ROAD, #B1-34, Singapore 059413",059413
GUARDIAN PHARMACY (CITY LINK),"1 RAFFLES LINK, #B1-67, Singapore 039393",039393
GUARDIAN PHARMACY (CITY SQUARE MALL),"180 KITCHENER ROAD, #B1-18/19, Singapore 208539",208539
GUARDIAN PHARMACY (CLEMENTI MALL),"3155 COMMONWEALTH AVENUE WEST, #3-59/60/61, Singapore 129588",129588
GUARDIAN PHARMACY (CLIFFORD CENTRE 2),"24 RAFFLES PLACE, #1-19/20/21, Singapore 048621",048621
GUARDIAN PHARMACY (COMPASS ONE),"1 SENGKANG SQUARE, #B1-11, Singapore 545078",545078
GUARDIAN PHARMACY (DEPARTURE TRANSIT LOUNGE EAST),"80 AIRPORT BOULEVARD, #2-69, Singapore 819642",819642
GUARDIAN PHARMACY (DEPARTURE TRANSIT WEST T1),"80 AIRPORT BOULEVARD, #2-16, Singapore 819642",819642
GUARDIAN PHARMACY (DEPARTURE/CHECK IN HALL NORTH),"60 AIRPORT BOULEVARD, #26-12, Singapore 819643",819643
GUARDIAN PHARMACY (DEPARTURE/TRANSIT LOUNGE NORTH TERMINAL 2),"60 AIRPORT BOULEVARD, #26-095A, Singapore 819643",819643
GUARDIAN PHARMACY (DEPARTURE/TRANSIT LOUNGE SOUTH),"60 AIRPORT BOULEVARD, #26-115-01, Singapore 819643",819643
GUARDIAN PHARMACY (GLENEAGLES),"6 NAPIER ROAD, #2-6-Aug, Singapore 258499",258499
GUARDIAN PHARMACY (GREAT WORLD CITY),"1 KIM SENG PROMENADE, #B1-18/19, Singapore 237994",237994
GUARDIAN PHARMACY (H205),"205 HOUGANG STREET 21, #1-129, Singapore 530205",530205
GUARDIAN PHARMACY (HARBOURFRONT CENTRE),"1 MARITIME SQUARE, #2-111/112, Singapore 099253",099253
GUARDIAN PHARMACY (HOLLAND SHOPPING CENTRE),"211 HOLLAND AVE, #1-11, Singapore 278967",278967
GUARDIAN PHARMACY (HOUGANG MALL),"90 HOUGANG AVENUE 10, #B1-31, Singapore 538766",538766
GUARDIAN PHARMACY (IMM2),"2 JURONG EAST ST 21, #1-56/57, Singapore 609601",609601
GUARDIAN PHARMACY (INTERNATIONAL BUILDING),"360 ORCHARD ROAD, #1-18, Singapore 238869",238869
GUARDIAN PHARMACY (ION),"2 ORCHARD TURN, #B4-2, Singapore 238801",238801
GUARDIAN PHARMACY (JELITA),"293 HOLLAND RD, #2-10, Singapore 278628",278628
GUARDIAN PHARMACY (JEM),"50 JURONG GATEWAY ROAD, #B1-16/17, Singapore 608549",608549
GUARDIAN PHARMACY (JURONG POINT 2),"63 JURONG WEST CENTRAL 3, #B1-27/28, Singapore 648331",648331
GUARDIAN PHARMACY (JURONG WEST BLK 503),"503 JURONG WEST AVENUE 1, #1-845, Singapore 640503",640503
GUARDIAN PHARMACY (KALLANG LEISURE PARK 2),"5 STADIUM WALK, #1-23, Singapore 397693",397693
GUARDIAN PHARMACY (KATONG MALL),"112 EAST COAST ROAD, #B1-7, Singapore 428802",428802
GUARDIAN PHARMACY (LAVENDER MRT STATION),"50 KALLANG ROAD, #B1-1, Singapore 208699",208699
GUARDIAN PHARMACY (LOT 1),"21 CHOA CHU KANG AVENUE 4, #B1-26/27, Singapore 689812",689812
GUARDIAN PHARMACY (MARINA BAY SANDS),"2 BAYFRONT AVENUE, #B2-49, Singapore 018972",018972
GUARDIAN PHARMACY (MOUNT ELIZABETH),"3 MOUNT ELIZABETH, #2-10-Nov, Singapore 228510",228510
GUARDIAN PHARMACY (NORTHPOINT),"930 YISHUN AVENUE 2, #B1-2-Mar, Singapore 769098",769098
GUARDIAN PHARMACY (NOVENA HOSPITAL),"38 IRRAWADDY ROAD, #1-08/09/10/11, Singapore 329563",329563
GUARDIAN PHARMACY (NOVENA SQUARE),"238 THOMSON ROAD, #1-31, Singapore 307683",307683
GUARDIAN PHARMACY (OUR TAMPINES HUB),"1 TAMPINES WALK, #B1-29, Singapore 528523",528523
GUARDIAN PHARMACY (PAGODA STREET),62 PAGODA STREET Singapore 059221,059221
GUARDIAN PHARMACY (PARAGON),"290 ORCHARD ROAD, #B1-20/24, Singapore 238859",238859
GUARDIAN PHARMACY (PARKWAY PARADE),"80 MARINE PARADE ROAD, #B1-147-149/155A, Singapore 449269",449269
GUARDIAN PHARMACY (PLAZA SINGAPURA),"68 ORCHARD ROAD, #B2-13/14, Singapore 238839",238839
GUARDIAN PHARMACY (RAFFLES CITY),"252 NORTH BRIDGE RD, #B1-11, Singapore 179103",179103
GUARDIAN PHARMACY (RAFFLES PLACE MRT 3),"5 RAFFLES PLACE, #B1-37-40/43-45, Singapore 048618",048618
GUARDIAN PHARMACY (SELETAR MALL),"33 SENGKANG WEST AVENUE, #B1-10-Nov, Singapore 797653",797653
GUARDIAN PHARMACY (SERANGOON GARDEN),66 SERANGOON GARDEN WAY Singapore 555962,555962
GUARDIAN PHARMACY (SERANGOON NEX),"23 SERANGOON CENTRAL, #B1-62/63, Singapore 556083",556083
GUARDIAN PHARMACY (STAR VISTA),"1 VISTA EXCHANGE GREEN, #B1-16, Singapore 138617",138617
GUARDIAN PHARMACY (SUN PLAZA 2),"30 SEMBAWANG DRIVE, #B1-11, Singapore 757713",757713
GUARDIAN PHARMACY (SUNTEC CITY),"3 TEMASEK BOULEVARD, #2-328/329, Singapore 038983",038983
GUARDIAN PHARMACY (TAI SENG STREET),"18 TAI SENG STREET, #1-19-21, Singapore 539775",539775
GUARDIAN PHARMACY (TAKASHIMAYA S. C. ),"391 ORCHARD ROAD, #B2-15-23, Singapore 238872",238872
GUARDIAN PHARMACY (TAMPINES MALL),"4 TAMPINES CENTRAL 5, #B1-18/19, Singapore 529510",529510
GUARDIAN PHARMACY (TAMPINES MRT),"20 TAMPINES CENTRAL 1, #1-1, Singapore 529538",529538
GUARDIAN PHARMACY (TANGLIN MALL),"163 TANGLIN ROAD, #1-18, Singapore 247933",247933
GUARDIAN PHARMACY (THE CENTREPOINT),"176 ORCHARD ROAD, #B1-01/02/03/04, Singapore 238843",238843
GUARDIAN PHARMACY (THOMSON PLAZA 2),"301 UPPER THOMSON ROAD, #3-48, Singapore 574408",574408
GUARDIAN PHARMACY (TIONG BAHRU PLAZA),"302 TIONG BAHRU ROAD, #B1-125, Singapore 168732",168732
GUARDIAN PHARMACY (TOA PAYOH BLK 190),"190 LORONG 6 TOA PAYOH, #1-578, Singapore 310190",310190
GUARDIAN PHARMACY (UNITED SQUARE 2),"101 THOMSON ROAD, #B1-28, Singapore 307591",307591
GUARDIAN PHARMACY (VIVO CITY),"1 HARBOURFRONT WALK, #1-23, Singapore 098585",098585
GUARDIAN PHARMACY (WEST MALL),"1 BUKIT BATOK CENTRAL LINK, #1-27, Singapore 658713",658713
GUARDIAN PHARMACY (WESTGATE),"3 GATEWAY DRIVE, #B1-20, Singapore 608532",608532
GUARDIAN PHARMACY (WHITE SANDS MALL),"1 PASIR RIS CENTRAL STREET 3, #1-12, Singapore 518457",518457
GUARDIAN PHARMACY (WRS),"21 TAMPINES NORTH DRIVE 2, #1-1, Singapore 528765",528765
GUARDIAN PHARMACY (YEW TEE MRT),"61 CHOA CHU KANG DRIVE, #1-02A, Singapore 689715",689715
GUARDIAN PHARMACY (ZHONGSAN PARK),"20 AH HOOD ROAD, #1-20/21, Singapore 329984",329984
