secondary_school,top_25
Admiralty Secondary School,0
Ahmad Ibrahim Secondary School,0
Anderson Secondary School,0
Anglican High School,1
Anglo-Chinese School (Independent),1
Ang Mo Kio Secondary School,0
Assumption English School,0
Bartley Secondary School,0
Beatty Secondary School,0
Bedok Green Secondary School,0
Bedok South Secondary School,0
Bedok View Secondary School,0
Bendemeer Secondary School,0
Boon Lay Secondary School,0
Bowen Secondary School,0
Broadrick Secondary School,0
Bukit Batok Secondary School,0
Bukit Merah Secondary School,0
Bukit Panjang Government High School,1
Bukit View Secondary School,0
Catholic High School,1
Canberra Secondary School,0
Cedar Girls' Secondary School,1
Changkat Changi Secondary School,0
449150,0
CHIJ Secondary (Toa Payoh),1
548595,0
569405,1
099138,0
Chua Chu Kang Secondary School,0
Christ Church Secondary School,0
Chung Cheng High School (Main),1
Chung Cheng High School (Yishun),0
Clementi Town Secondary School,0
Commonwealth Secondary School,0
Compassvale Secondary School,0
Crescent Girls' School,1
Damai Secondary School,0
Deyi Secondary School,0
Dunearn Secondary School,0
Dunman High School,1
East Spring Secondary School,0
Edgefield Secondary School,0
Evergreen Secondary School,0
Fairfield Methodist Secondary School,1
Fajar Secondary School,0
Fuchun Secondary School,0
Fuhua Secondary School,0
Gan Eng Seng School,0
Geylang Methodist School (Secondary),0
Greendale Secondary School,0
Greenridge Secondary School,0
Guangyang Secondary School,0
Hai Sing Catholic School,0
Hillgrove Secondary School,0
Holy Innocents' High School,0
Hong Kah Secondary School,0
Hougang Secondary School,0
Hua Yi Secondary School,0
Hwa Chong Institution,1
Junyuan Secondary School,0
Jurong Secondary School,0
Jurong West Secondary School,0
Jurongville Secondary School,0
Juying Secondary School,0
Kent Ridge Secondary School,0
Kranji Secondary School,0
Kuo Chuan Presbyterian Secondary School,0
Loyang View Secondary School,0
Manjusri Secondary School,0
Maris Stella High School,0
Marsiling Secondary School,0
Mayflower Secondary School,0
Meridian Secondary School,0
599986,1
Montfort Secondary School,0
Nan Chiau High School,0
Nan Hua High School,1
Nanyang Girls' High School,1
National Junior College,1
Naval Base Secondary School,0
New Town Secondary School,0
Ngee Ann Secondary School,0
North Vista Secondary School,0
Northbrooks Secondary School,0
Northland Secondary School,0
NUS High School of Mathematics and Science,0
Orchid Park Secondary School,0
Outram Secondary School,0
Pasir Ris Crest Secondary School,0
Pasir Ris Secondary School,0
536742,0
Pei Hwa Secondary School,0
Peicai Secondary School,0
Peirce Secondary School,0
Ping Yi Secondary School,0
Presbyterian High School,0
Punggol Secondary School,0
Queenstown Secondary School,0
Queensway Secondary School,0
289072,1
Raffles Institution,1
Regent Secondary School,0
Riverside Secondary School,0
River Valley High School,1
359342,1
429058,0
"School of Science and Technology, Singapore",0
227968,0
Sembawang Secondary School,0
Seng Kang Secondary School,0
Serangoon Garden Secondary School,0
Serangoon Secondary School,0
609604,0
Singapore Chinese Girls' School,1
Springfield Secondary School,0
469700,0
556140,0
528986,0
308274,1
Swiss Cottage Secondary School,0
Tanglin Secondary School,0
Tampines Secondary School,0
Tanjong Katong Girls' School,0
Tanjong Katong Secondary School,0
Teck Whye Secondary School,0
Temasek Junior College,1
Temasek Secondary School,0
Unity Secondary School,0
Victoria School,1
West Spring Secondary School,0
Westwood Secondary School,0
Whitley Secondary School,0
Woodgrove Secondary School,0
Woodlands Ring Secondary School,0
Woodlands Secondary School,0
Xinmin Secondary School,0
Yio Chu Kang Secondary School,0
Yishun Secondary School,0
Yishun Town Secondary School,0
Yuan Ching Secondary School,0
Yuhua Secondary School,0
Yusof Ishak Secondary School,0
Yuying Secondary School,0
Zhenghua Secondary School,0
Zhonghua Secondary School,0
,
,
