shopping_centre
100 AM
313@Somerset
Aperia
Balestier Hill Shopping Centre
Bugis Cube
Bugis Junction
Bugis+
Capitol Piazza
Cathay Cineleisure Orchard
59817
The Centrepoint
City Square Mall
City Gate
CityLink Mall
Duo
Far East Plaza
Funan
Great World City
HDB Hub
278967
ION Orchard
Junction 8
Knightsbridge Mall
Liang Court
Liat Towers
Lucky Plaza
Marina Bay Sands
The Shoppes at Marina Bay Sands
Marina Bay Financial Centre Tower 3
Marina Bay Link Mall
Marina One
Marina Square
Millenia Walk
Mustafa Centre
Ngee Ann City
Orchard Central
Orchard Gateway
Orchard Plaza
Midpoint Orchard
Orchard Shopping Centre
Palais Renaissance
People's Park Centre
People's Park Complex
Plaza Singapura
GR.ID
Raffles City
Scotts Square
Serangoon Plaza
Shaw House
Sim Lim Square
Singapore Shopping Centre
The South Beach
Square 2
Suntec City
Tanglin Mall
Tangs
Tanjong Pagar Centre
Tekka Centre
The Paragon
Tiong Bahru Plaza
Thomson Plaza
United Square
307683
Wheelock Place
Wisma Atria
Zhongshan Mall
White Sands
Downtown East
Century Square
Tampines 1
Tampines Mall
Our Tampines Hub
Changi Airport
Changi City Point
Djitsun Mall Bedok
Eastpoint Mall
Bedok Mall
Bedok Point
Paya Lebar Square
Singapore Post - General Post Office
PLQ Mall
Kinex
Katong Shopping Centre
Roxy Square
i12 Katong
Parkway Parade
City Plaza
Katong Square
Katong V
Kallang Wave Mall
Leisure Park Kallang
East Village
Elias Mall
Loyang Point
The Flow
Jewel Changi Airport
888 Plaza
Admiralty Place
AMK Hub
Canberra Plaza
Causeway Point
Broadway Plaza
Djitsun Mall
569814
Junction 9
Marsiling Mall
Northpoint City
Sembawang Shopping Centre
Sun Plaza
Vista Point
Wisteria Mall
Woodlands Mart
Woodlands North Plaza
Waterway Point
Compass One
Hougang Mall
Heartland Mall
NEX
Greenwich V
Hougang 1
Hougang Green Shopping Mall
myVillage At Serangoon Garden
Oasis Terraces
Punggol Plaza
Rivervale Mall
Rivervale Plaza
The Seletar Mall
Buangkok Square
The Midtown
Upper Serangoon Shopping Centre
Beauty World Centre
Beauty World Plaza
Bukit Panjang Plaza
Bukit Timah Plaza
Fajar Shopping Centre
Greenridge Shopping Centre
Hillion Mall
HillV2
Junction 10
Limbang Shopping Centre
Lot One
Rail Mall
Sunshine Place
Teck Whye Shopping Centre
West Mall
Yew Tee Point
Yew Tee Square
Keat Hong Shopping Centre
229899
VivoCity
HarbourFront Centre
Alexandra Retail Centre
321 Clementi
The Clementi Mall
IMM
JCube
Jem
Westgate
Jurong Point
Pioneer Mall
The Star Vista
Alexandra Central
Anchorpoint
Big Box
287994
Boon Lay Shopping Centre
Grantral Mall
Fairprice Hub
Gek Poh Shopping Centre
Rochester Mall
Taman Jurong Shopping Centre
West Coast Plaza
Queensway Shopping Centre
